enterprise_number,activity_number,nace_code,classification_code
0401365907,1,41201,MAIN
0401365907,2,46731,SECO
0401365907,3,47521,SECO
0401381149,1,43390,MAIN
0401381149,2,46610,MAIN
0401381149,3,47620,SECO
0401405497,1,46772,MAIN
0401405497,2,43110,MAIN
0401405497,3,46772,SECO
0401405497,4,49410,SECO
0401432718,1,43320,MAIN
0401432718,2,43320,MAIN
0401470231,1,43331,MAIN
0401470231,2,43331,MAIN
0401473793,1,42110,MAIN
0401473793,2,43999,MAIN
0401483394,1,42110,MAIN
0401483394,2,42110,MAIN
0401491710,1,42110,MAIN
0401491710,2,42120,MAIN
0401491710,3,39000,SECO
0401491710,4,42110,SECO
0401491710,5,42130,SECO
0401491710,6,81300,SECO
0401492007,1,41201,MAIN
0401492007,2,16230,SECO
0401492007,3,16291,SECO
0401492007,4,43320,SECO
0401506754,1,41101,MAIN
0401506754,2,41102,SECO
0401506754,3,68201,SECO
0401506754,4,68203,SECO
0401605140,1,42110,MAIN
0401605140,2,42110,MAIN
0401605140,3,43299,SECO
0401607318,1,41201,MAIN
0401607318,2,41201,MAIN
0401636319,1,43110,MAIN
0401636319,2,41201,SECO
0401636319,3,42130,SECO
0401636319,4,43120,SECO
0401636319,5,46710,SECO
0401664033,1,41203,MAIN
0401664033,2,41203,MAIN
0401664033,3,47521,SECO
0401672248,1,47521,MAIN
0401672248,2,43222,MAIN
0401672248,3,43320,SECO
0401672248,4,47592,SECO
0401672248,5,47789,SECO
0401683136,1,43120,MAIN
0401711345,1,43221,MAIN
0401711345,2,43222,MAIN
0401722332,1,43999,MAIN
0401722332,2,43320,MAIN
0401722926,1,41201,MAIN
0401722926,2,68201,MAIN
0401722926,3,41201,SECO
0401722926,4,68203,SECO
0401739950,1,43120,MAIN
0401739950,2,49410,MAIN
0401740742,1,42110,MAIN
0401740742,2,42110,MAIN
0401743217,1,41101,MAIN
0401743217,2,41102,SECO
0401743217,3,68100,SECO
0401743217,4,68201,SECO
0401743217,5,68203,SECO
0401743217,6,68311,SECO
0401818144,1,41203,MAIN
0401818144,2,41201,MAIN
0401818144,3,68100,SECO
0401860013,1,43211,MAIN
0401860013,2,43211,MAIN
0401869713,1,43222,MAIN
0401869713,2,46742,MAIN
0401869713,3,43222,SECO
0401901286,1,41201,MAIN
0401901286,2,41202,SECO
0401901286,3,41203,SECO
0401902177,1,43211,MAIN
0401902177,2,26300,MAIN
0401902177,3,46900,SECO
0401903959,1,43222,MAIN
0401903959,2,43222,MAIN
0401962753,1,43910,MAIN
0401962753,2,43291,MAIN
0401962753,3,43320,SECO
0401962753,4,43910,SECO
0401966317,1,41102,MAIN
0401966317,2,68203,MAIN
0401966317,3,68201,SECO
0401998979,1,41101,MAIN
0402010164,1,41201,MAIN
0402031346,1,43211,MAIN
0402031346,2,27120,MAIN
0402035997,1,43332,MAIN
0402035997,2,43332,MAIN
0402037086,1,43999,MAIN
0402037086,2,25120,MAIN
0402043224,1,43320,MAIN
0402043224,2,16230,MAIN
0402052231,1,43333,MAIN
