enterprise_number,street,house_number,box,zipcode,city,country
0406457615,Egaalstraat,11,,8870,Izegem,België
0406500274,"Rue de Gaët, L'Ecluse",25,,1320,Beauvechain,België
0406501264,Rue de Maestricht(VIS),106,,4600,Visé,België
0406534225,Mechelsesteenweg,719,,3020,Herent,België
0406587475,Korte Keppestraat,7,52,9320,Aalst,België
0406696254,Merksemsesteenweg,194,,2100,Antwerpen,België
0406707241,Beekweg,5,,3700,Tongeren,België
0406718327,Rue de la Maladrie,34,,7062,Soignies,België
0406721889,Eekhoekstraat,89,A,9270,Laarne,België
0406723374,"Weiherstraße,Recht",61,,4780,Sankt Vith,België
0406745447,Rue du Fond du Maréchal(RH),20,,5020,Namur,België
0406750692,Industrieweg,150,,9030,Gent,België
0406754652,Overhammedreef,22,,9300,Aalst,België
0406761382,Provinciebaan,34,,2230,Herselt,België
0406768015,Zandvoordestraat,191,,8400,Oostende,België
0406770389,Ridder Walter Van Havrelaan,17,3,2900,Schoten,België
0406798697,Rue de la Terre à Briques(MAR),18,,7522,Tournai,België
0406857293,Vaartdijk(TIL),24,,3150,Haacht,België
0406914703,Lettenburgstraat,4,,8490,Jabbeke,België
0406922918,Steenwinkelstraat,640,,2627,Schelle,België
0406933212,Zemstbaan,70,,2800,Mechelen,België
0406947761,Rue de la Barge,16,,4000,Liège,België
0406956768,President Kennedypark(Kor),4b,,8500,Kortrijk,België
0407016948,Kadodderstraat,106,,2800,Mechelen,België
0407022391,Bosstraat,2,1,9550,Herzele,België
0407034764,Havinkbeekstraat(VER),3,,9130,Beveren,België
0407100981,Tiensesteenweg,386,,3000,Leuven,België
0407117809,Preflexbaan,167,,1740,Ternat,België
0407131071,Edmond Van Nieuwenhuyselaan,30,,1160,Oudergem,België
0407159577,Nijverheidsstraat,2,,8650,Houthulst,België
0407176801,Kroonlaan,284,,1050,Elsene,België
0407178680,Birminghamstraat,110,,1070,Anderlecht,België
0407187291,Schaliënhoevedreef,1A,,2800,Mechelen,België
0407194518,Bredabaan,44,,2930,Brasschaat,België
0407202931,Quai d'Arona,17,,4500,Huy,België
0407204713,Monnikenwerve,17-19,,8000,Brugge,België
0407209166,Augustijnenrei,15,8,8000,Brugge,België
0407326358,Winkelomseheide,249,,2440,Geel,België
0407423160,Zuiderdijk,18,,9230,Wetteren,België
0407549755,Vuurtorendok-Zuid,3,0803,8400,Oostende,België
0407549854,Lodewijk de Raetlaan,24,,8870,Izegem,België
0407568561,Magerstraat(Heu),17B,,8501,Kortrijk,België
0407647547,Kermtstraat,2,,3510,Hasselt,België
0407651804,Robert Tavernierlaan,1,,8700,Tielt,België
0407686347,Lijsterbessebomenlaan,11,,1180,Ukkel,België
0407715843,Rue Hector Ameye(H-G),22,,7110,La Louvière,België
0407716734,Brugsesteenweg,53A,,8450,Bredene,België
0407733461,"Libramont,Rue des Champs",15,,6800,Libramont-Chevigny,België
0407741478,Ondernemerslaan,10,,2960,Brecht,België
0407861937,Nieuwpoortse Steenweg,128,,8470,Gistel,België
0407924986,"Heppenbach,Lehmkaul",41,,4770,Amel,België
0407975466,Kanaalstraat,1,,8530,Harelbeke,België
0407980317,Kwikaard,110,,2980,Zoersel,België
0407980713,Kapellei,66,3,2980,Zoersel,België
0408062172,Rue Champeau,8,,6061,Charleroi,België
0408064350,Industriepark-West,62,,9100,Sint-Niklaas,België
0408065835,Bethaniënlei,15,,2980,Zoersel,België
0408075436,Industriëlaan,21/A,,7700,Mouscron,België
0408161350,Doorniksesteenweg(Kor),81 B,7,8500,Kortrijk,België
0408188569,Rue Champeau,20,,6061,Charleroi,België
0408224993,Daalhofstraat,45,,3840,Borgloon,België
0408242910,Tervurenlaan,148,25,1150,Sint-Pieters-Woluwe,België
0408268644,Vaartweg,3,,1651,Beersel,België
0408350895,Buissestraat,36,,9690,Kluisbergen,België
0408389992,Industrielaan,5,,9900,Eeklo,België
0408394645,Koningsbaan,86,,2580,Putte,België
0408394744,Fotografielaan,49-51,,2610,Antwerpen,België
0408411372,Rue Gabriel de Moriamé(ML),4,,5020,Namur,België
0408442848,Chemin du Fond des Coupes,6,,5150,Floreffe,België
0408443145,"Rue de Botrange,Sourbrodt",44,,4950,Waimes,België
0408465614,Stasegemsesteenweg(Kor),17,,8500,Kortrijk,België
0408470760,"Rue des Cinq-Français, Nismes",4,,5670,Viroinval,België
0411092334,Stationsstraat,22,,3570,Alken,België
0411114110,Simon De Heuvellaan,8,,2110,Wijnegem,België
0411509533,Meersbloem-Leupegem,22,,9700,Oudenaarde,België
0411516065,Rue Mitoyenne,897,,4840,Welkenraedt,België
0411516758,Alverenbergbaan,1,,9308,Aalst,België
0411524973,Rue Charles Richet,4,,7180,Seneffe,België
0411555360,Leierwaarde,52,,9660,Brakel,België
0411556053,Avenue des Combattants,332,,1470,Genappe,België
0411577631,Baasrodestraat (BAA),97,,9200,Dendermonde,België
0411578522,Steenweg Deinze,150,,9810,Nazareth,België
0411581985,Goudvinkendreef,11,,2900,Schoten,België
0411584262,Kachtemsestraat,192,,8800,Roeselare,België
0411592477,Nieuwstraat,96,,8560,Wevelgem,België
0411621775,Quinten Metsysplein,12,1,3000,Leuven,België
0411630683,Centrum-Zuid,2049,,3530,Houthalen-Helchteren,België
0411668196,Zandvoordestraat,465,,8400,Oostende,België
0411680668,Everhoek,2,,2520,Ranst,België
0411879816,Dellestraat,8,,3560,Lummen,België
0411906045,Pittemstraat,93,,8760,Meulebeke,België
0411920396,Rue de la Gare,49,,5555,Bièvre,België
0411927821,Heideweg,39,,2980,Zoersel,België
0411960483,Rue Moister,28,,4624,Fléron,België
0411961473,Karreweg,54,,9870,Zulte,België
0411969490,Slachthuisstraat,14,,9900,Eeklo,België
0411979487,Molenstraat(Wak),35,,8720,Dentergem,België
0412003045,Fabriekstraat,2,,3670,Oudsbergen,België
0412012151,Rue du Mont,164A,,6870,Saint-Hubert,België
0412016111,Felix Moonsstraat,13,,3290,Diest,België
0412042241,Kapellestraat,117,,8020,Oostkamp,België
0412059859,Leopoldplein,37,,2500,Lier,België
0412068173,Pittemstraat,56,,8760,Meulebeke,België
0412100639,Ninoofsesteenweg,305,,1500,Halle,België
0412137756,Moorstraat,20,1,2870,Puurs-Sint-Amands,België
0412138944,Thonissenlaan,63,1,3500,Hasselt,België
0412379860,Jagersborgweg,1007,,3680,Maaseik,België
0412384216,Lichterveldestraat,15,,8740,Pittem,België
0412421333,Mechelsesteenweg,388,,2500,Lier,België
0412424895,Vaartkaai,51,,2170,Antwerpen,België
0412449938,Flandria,20,,8750,Wingene,België
0412452908,Bisschopsweyerstraat,17,,3570,Alken,België
0412458054,Meulebekesteenweg(Den),6,,8720,Dentergem,België
0412548423,Tieltstraat,17,,8720,Dentergem,België
0412554955,Stadsomvaart,1,5,3500,Hasselt,België
0412589104,Siemenslaan,7,,3650,Dilsen-Stokkem,België
0412597418,Pauwendreef,7,A,2900,Schoten,België
0412605930,Geallieerdenlaan(D),65,,7711,Mouscron,België
0412618204,Misweg,3A,,2220,Heist-op-den-Berg,België
0412636911,Ouderdomseweg,10-12,,8970,Poperinge,België
0412661061,Sint-Bartholomeusstraat,10,,8900,Ieper,België
0412708472,Koning Albert II-laan,19,,1210,Sint-Joost-ten-Node,België
0412738958,Froissartstraat,119,5,1040,Etterbeek,België
0412750044,Noorderlaan,147,,2030,Antwerpen,België
0412783696,Smisstraat,54,,2800,Mechelen,België
