enterprise_number,street,house_number,box,zipcode,city,country
0417514724,Luikersteenweg,254,,3500,Hasselt,België
0417523830,Verstrekenstraat(SAR),25,,3040,Huldenberg,België
0417528283,Rue de Froidchapelle(Cer),12,,5630,Cerfontaine,België
0417577773,Parc Industriel,4,,4400,Flémalle,België
0417596381,Steverlyncklaan,11,,8900,Ieper,België
0417611328,Kiewitstraat,182,A,3500,Hasselt,België
0417644683,Achterstenhoek,34,,2275,Lille,België
0417648643,Nieuwstraat,37,,1730,Asse,België
0417660818,Beemdenstraat,44,,2930,Brasschaat,België
0417696846,Gapaardstraat,28,,8850,Ardooie,België
0417727530,Ardooisesteenweg,305,,8800,Roeselare,België
0417751185,Molenweidestraat(HEU),24,,9070,Destelbergen,België
0417769003,Baaistraat,68,,3470,Kortenaken,België
0417774743,Puursheide,1,,2870,Puurs-Sint-Amands,België
0417803051,Kluizenmeersen(SGW),16,,9170,Sint-Gillis-Waas,België
0417838980,Vlamingveld,75,,8490,Jabbeke,België
0417842247,Blokstraat,46,,2500,Lier,België
0417860756,Kroonstraat,170,,3020,Herent,België
0417879661,Avenue de Namur,14,,5590,Ciney,België
0417887084,Leuvensesteenweg,287,,3070,Kortenberg,België
0417897576,B.A. Guilbertlaan,3,,8700,Tielt,België
0417904209,Ten Beukeboom(App),11,,9400,Ninove,België
0417906385,Veldstraat,111,,3500,Hasselt,België
0417907771,Simarstrasse,36,,4700,Eupen,België
0417918263,Marie Curiesquare,50,,1070,Anderlecht,België
0417923411,Nijverheidsstraat,49,,8970,Poperinge,België
0417937267,Lode De Boningestraat,39,A,8560,Wevelgem,België
0417995170,Retiesebaan,171,,2460,Kasterlee,België
0418006454,Frédéric Pelletierstraat,33,,1030,Schaarbeek,België
0418006751,Rue Fernand Bourgeois,6,,5352,Ohey,België
0418010216,Lauwbergstraat,230,,8930,Menen,België
0418024567,Rue Crufer,8,,4970,Stavelot,België
0418096031,Staatsbaan,278,,9870,Zulte,België
0418125230,Sint-Baafskerkstraat,1,,8200,Brugge,België
0418150766,Steenweg op Asse(P.E.),19,,7850,Enghien,België
0418162545,Bredabaan,875,,2930,Brasschaat,België
0418169077,Oostmalsesteenweg,220,,2310,Rijkevorsel,België
0418172443,Dam(Kor),10,,8500,Kortrijk,België
0418204810,Jagersborgweg,1007,,3680,Maaseik,België
0418210550,Rue de Ciply (C.),454,,7033,Mons,België
0418221240,Turnhoutseweg,67,2,2340,Beerse,België
0418243709,Zandbergen,6,,2480,Dessel,België
0418266374,Heiveldstraat,189,,9040,Gent,België
0418381883,Schoolstraat,22,A,3440,Zoutleeuw,België
0418384358,Nieuwe Dreef,17,,9160,Lokeren,België
0418456218,Rue Charles Richet,4,,7180,Seneffe,België
0418469084,Rue du Travail,7,,4460,Grâce-Hollogne,België
0418472450,Brugmannlaan,27,A,1060,Sint-Gillis (bij-Brussel),België
0418489573,Waterlaatstraat,37,,2970,Schilde,België
0418520356,Rue de la Vieille Espérance,24,,4100,Seraing,België
0418547080,Narcissenlaan,8,,2970,Schilde,België
0418547179,Kortrijkstraat,142,,8770,Ingelmunster,België
0418548268,Brusselsesteenweg,328,,3090,Overijse,België
0418555097,Zavelstraat(STE),34,,9190,Stekene,België
0418573113,Boskant,28,,2242,Zandhoven,België
0418575487,Lambermontlaan,310,,1030,Schaarbeek,België
0418580833,Bredabaan,197,,2930,Brasschaat,België
0418598451,Evenbroekveld,30,,9420,Erpe-Mere,België
0418619039,Laageind,5,,2940,Stabroek,België
0418622702,Louizalaan,230,,1050,Elsene,België
0418635271,Deurnevoetweg,2,,2900,Schoten,België
0418650515,Rue du Pont(AMA),30,,4540,Amay,België
0418680407,Rue Albert Mille(PEC),19,,7740,Pecq,België
0418686840,Basseilles,1,,5340,Gesves,België
0418702478,Toekomstlaan(HRT),41,A,2200,Herentals,België
0418703072,Bosstraat,18,,3950,Bocholt,België
0418732667,"Rue Saint-Donat,Warêt",42,,5310,Eghezée,België
0418751275,Rue Joseph Vanderick(CO),179,,6180,Courcelles,België
0418851641,Gestichtstraat,45,,9000,Gent,België
0418859163,Paalsteenstraat,36,,3500,Hasselt,België
0418909346,Geleenlaan,1,,3600,Genk,België
0418954480,Nijverheidslaan,3,,9880,Aalter,België
0418972197,Steenweg op Blaasveld(HEF),56a,,2801,Mechelen,België
0418972989,Kouter (E.),3,,9790,Wortegem-Petegem,België
0419049896,Meuleberg,2,,8573,Anzegem,België
0419062170,Dorpsstraat,19,3.1,3590,Diepenbeek,België
0419072959,Brusselstraat,120,,1702,Dilbeek,België
0419091567,Charleroise Steenweg,227,,1060,Sint-Gillis (bij-Brussel),België
0419099287,Markegemstraat(Wak),59,,8720,Dentergem,België
0419114828,Kumtichstraat(KMT),331,,3300,Tienen,België
0419116412,Beverlostraat,19,,3970,Leopoldsburg,België
0419127694,Oostendestraat,278,,8820,Torhout,België
0419127892,Rue de l'Echelle,308,,4100,Seraing,België
0419152341,Hasseltkouter(Oph),57,,9500,Geraardsbergen,België
0419156202,Congresstraat,35,,1000,Brussel,België
0419180550,Rue de Maestricht(VIS),106,,4600,Visé,België
0419201534,Humaniteitslaan,114,,1070,Anderlecht,België
0419225486,Rue Modeste Carlier,59,,7390,Quaregnon,België
0419230535,Noordlaan,18,,8520,Kuurne,België
0419265474,Rue des Bayards,147,,4000,Liège,België
0419320310,Puursesteenweg(BOR),384,,2880,Bornem,België
0419320805,Buntjesstraat,39,,3583,Beringen,België
0419326149,Vicus Pontrave,25,,9250,Waasmunster,België
0419351982,Puursesteenweg(BOR),391,,2880,Bornem,België
0419367325,Koningin Astridlaan,25,,2800,Mechelen,België
0419424733,Kerkstraat,244,,1851,Grimbergen,België
0419491841,Schaapveld (STG),22,,9200,Dendermonde,België
0419493326,Rue de l'Avenir,63,,4460,Grâce-Hollogne,België
0419510251,Rue Robert Gérard,3,,1480,Tubize,België
0419511043,Bredabaan (Centrum),47-49,,2990,Wuustwezel,België
0419522723,Duisburgsesteenweg,6,,3090,Overijse,België
0419596462,Otterstraat,38,9,2300,Turnhout,België
0419627938,Rozenstraat,5,,9810,Nazareth,België
0419657137,Holstraat,9,2,1840,Londerzeel,België
0419685148,Edingsesteenweg,89,A,1755,Gooik,België
0419703756,Kambalastraat,16,,2030,Antwerpen,België
0419732757,Vanderveldenlaan,11,,1652,Beersel,België
0419746714,Ginstlaan,16,,1640,Sint-Genesius-Rode,België
0419765520,Industrielaan,21,,8790,Waregem,België
0419774527,Staatsbaan(LUB),187,,3210,Lubbeek,België
0419784227,Steenovenstraat,12,,8700,Tielt,België
0419795115,Rue Grondal,8,,4890,Thimister-Clermont,België
0419803924,Centrum-Zuid,1544,,3530,Houthalen-Helchteren,België
0419813624,Rue Bon Espoir,17,,4041,Herstal,België
0419820057,Iepersestraat,120,,8890,Moorslede,België
0419832430,Statiestraat (Dp),99,,2920,Kalmthout,België
0419832826,Chemin Vert,12B,,7080,Frameries,België
0419844605,Oude Weg,39,,9991,Maldegem,België
0419876871,Henri Lebbestraat,17,,8790,Waregem,België
0419877168,Kartuizersweg,1,,2550,Kontich,België
0419887264,'s Graventafelstraat,1,H,8980,Zonnebeke,België
0419889640,Kluizenhof(SGW),20,,9170,Sint-Gillis-Waas,België
0419892808,Georges Henrilaan,389,,1200,Sint-Lambrechts-Woluwe,België
0419904981,Nijverheidsstraat,7,,3990,Peer,België
0419921809,Rue Commandant Naessens,30,,4340,Awans,België
0419928737,Korte Lozanastraat,28,,2018,Antwerpen,België
0419931014,Beukenstraat,160,,9255,Buggenhout,België
0419955560,Rue Albert 1er,72,,4610,Beyne-Heusay,België
0419962686,Nijverheidslaan,4a,,8560,Wevelgem,België
0419966250,"Rue de Longuyon,Ruette",37,,6760,Virton,België
0419970804,Brugstraat,3,,8581,Avelgem,België
0419985155,Baron Albert d'Huartlaan,268,,1950,Kraainem,België
0419989907,Avenue du Gris Moulin,9,,1310,La Hulpe,België
0419999409,Industrieweg,11,,2320,Hoogstraten,België
0419999805,Gasdam(BEV),10,,9120,Beveren,België
0420004654,Rue du Cura,37,,1400,Nivelles,België
0420027321,Dennenlaan,15,,3271,Scherpenheuvel-Zichem,België
0420031081,Rue de la Closière,14,,1300,Wavre,België
0420057609,Vredelaan,2,6,3530,Houthalen-Helchteren,België
0420104921,Kernenergiestraat,65,,2610,Antwerpen,België
0420108681,Kleine Heidestraat,3,,9080,Lochristi,België
0420178561,Chemin des Cèdres,37,1,4000,Liège,België
0420185192,Nieuwebosstraat,5,,9000,Gent,België
0420191528,Georges Lecointelaan,50,,1180,Ukkel,België
0420249629,De Maneschijn,8,,2460,Kasterlee,België
0420252597,Route du Vieux Chêne,7,,6661,Houffalize,België
0420259230,Acacialaan,42,,3970,Leopoldsburg,België
0420259725,Wijtschotbaan,3,8,2900,Schoten,België
0420300604,Linteweversstraat(KOM),7,,7780,Comines-Warneton,België
0420333068,Rue de la Buse,3,,4950,Waimes,België
0420343659,Dorpweg,35,,8377,Zuienkerke,België
0420348015,Kasteelstraat,13,,8980,Zonnebeke,België
0420415816,Ijskelderstraat,16,,1060,Sint-Gillis (bij-Brussel),België
0420418883,Groot Eyssel,39,A,2328,Hoogstraten,België
0420424526,Pontstraat(KRU),2,,9770,Kruisem,België
0420483221,Rijkswachtdreef,23,,9600,Ronse,België
0420488169,Avenue du Parc Industriel,11,,4041,Herstal,België
0420519249,Vaartstraat,150,,2490,Balen,België
0420578340,Briscol,4,,6997,Erezée,België
0420588337,Menensesteenweg,28,,8890,Moorslede,België
0420644260,Jagershoek,14,,8570,Anzegem,België
0420692661,D'Helst,10,,9280,Lebbeke,België
0420759670,Rue des Marchands,42,,6200,Châtelet,België
0420765214,Rue Maurice Duchêne,52B,,4340,Awans,België
0420769073,Pannenbakkersstraat(M),4,,8552,Zwevegem,België
0420773726,Kasteelstraat,19,,3800,Sint-Truiden,België
0420820345,Industriepark,3,,3290,Diest,België
0420827075,Rue Coron du Bois,29,,7370,Dour,België
0420832520,Priorijdreef,25,,1160,Oudergem,België
0420836775,Avenue de la Porallée,34,,4920,Aywaille,België
0420838458,Joseph Stevensstraat,7,,1000,Brussel,België
0420993460,Rue du Curé,10,,1331,Rixensart,België
0421042653,Rue des Ruelles,49,,7950,Chièvres,België
0421046118,Gontrode Heirweg,142,,9090,Melle,België
0421056412,Avenue Zénobe Gramme,2,,1300,Wavre,België
0421077790,Ambachtenlaan,5,,9080,Lochristi,België
0421099566,Lijsterstraat,26,,3530,Houthalen-Helchteren,België
0421117481,Les Plénesses,44,,4890,Thimister-Clermont,België
0421134705,Ijzerlaan,17,,3270,Scherpenheuvel-Zichem,België
0421154697,rue du Chenia,10,C,7170,Manage,België
0421167367,Rue de Battice,156,,4880,Aubel,België
0421188846,Hamonterweg,139,,3930,Hamont-Achel,België
0421189440,Rue de la Platinerie,12,,7340,Colfontaine,België
0421205375,Chaussée de Nivelles,121,,7181,Seneffe,België
0421261003,Bouvriestraat,3,,8583,Avelgem,België
0421301880,"Zoning de Jumet,4ème rue",33,,6040,Charleroi,België
0421312867,Rue du Réemploi(RH),4,,5020,Namur,België
0421313659,Avenue de Jassans,58,,1342,Ottignies-Louvain-la-Neuve,België
0421324250,Industrieweg,21,,2330,Merksplas,België
0421401256,Koralenhoeve,35,,2160,Wommelgem,België
0421413332,Allée des Foires,6,,5590,Ciney,België
0421421547,Avenue de Philippeville,161,,6001,Charleroi,België
0421452825,Rue Saint-Vincent,18,,4020,Liège,België
0421455102,Rue L. Maréchal,11,,4360,Oreye,België
0421496969,Lobulckstraat,21,,9880,Aalter,België
0421515181,Brugsesteenweg,512,,8800,Roeselare,België
0421519933,Industrieterrein Kolmen,1107,,3570,Alken,België
0421523990,Industrieweg,-,1413,3540,Herk-de-Stad,België
0421550815,Avenue Lorette,4,,1380,Lasne,België
0421559723,Stoofstraat (W.),8,,9790,Wortegem-Petegem,België
0421561505,Jan de Malschelaan,8,,9140,Temse,België
0421570314,Burchtstraat,89,,9150,Kruibeke,België
0421581893,Steenweg op Asse(P.E.),136,,7850,Enghien,België
0421608124,Rue de Mortagne(F),5,,7910,Frasnes-lez-Anvaing,België
0421619309,Markt,48A,,2590,Berlaar,België
0421707005,Frankrijkstraat,6,,9140,Temse,België
0421759364,Groeningenlei,44,,2550,Kontich,België
0421830135,Centrum-Zuid,2067,,3530,Houthalen-Helchteren,België
0421842211,Turnovatoren,16,1,2300,Turnhout,België
0421855770,Dorpsstraat,4,,8420,De Haan,België
0421859928,Harelbekestraat,17,a,8570,Anzegem,België
0421879031,Rue de la Verte Reine(PER),17,,7600,Péruwelz,België
0421948911,Rue Mabîme,73,,4432,Ans,België
0421960391,Morkhovenseweg(WIE),45,3,2222,Heist-op-den-Berg,België
0421961480,Kleine Amer,15,,2870,Puurs-Sint-Amands,België
0421968707,Autolei,228,,2160,Wommelgem,België
0421994738,Peerderbaan,119,,3940,Hechtel-Eksel,België
0422007903,Ploeghoeveweg,1,,2500,Lier,België
0422099854,Rabotstraat,113,,9940,Evergem,België
0422139743,Avenue de la Résistance,530,,4630,Soumagne,België
0422166863,Zeedijk,127,,8430,Middelkerke,België
0422178939,Gemeenteplein,20,90,8790,Waregem,België
0422195171,Haachtsesteenweg,1739,,1130,Brussel,België
0422202891,Rue de Courrière,43,,5340,Gesves,België
0422218630,Rue Champeau,24,,6061,Charleroi,België
0422303257,Terbermenweg,64,,3540,Herk-de-Stad,België
0422314937,Steenweg,88,,3540,Herk-de-Stad,België
0422317016,Eugène Bekaertlaan,51,,8790,Waregem,België
0422373137,Rue du Fayais,4,,4950,Waimes,België
0422391349,Flanders-Fieldweg,36,,8790,Waregem,België
0422391547,"Marche,Rue de la Plaine",21,,6900,Marche-en-Famenne,België
0422450539,Zandvoordeschorredijkstraat,287,,8400,Oostende,België
0422454596,Rue du Bois de Huy(AMP),5 D,,4540,Amay,België
0422457665,Elbestraat,12,,8760,Meulebeke,België
0422483302,Bevrijdingsstraat,32,,3945,Ham,België
0422516657,Rue de Leuze,407,,5300,Andenne,België
0422525466,Rue Latérale(TR),9,,6183,Courcelles,België
0422548727,Rue des Dizeaux,2,,1360,Perwez,België
0422555754,Doenaertstraat(Mar),2,,8510,Kortrijk,België
0422564662,Denen,75,,9080,Lochristi,België
0422568325,Rue Noël Heine,17,,4340,Awans,België
0422595049,Avenue Thomas Edison,131,,1402,Nivelles,België
0422625733,Rue Ernest-Solvay,311,,4000,Liège,België
0422646420,Avenue Albert-Ier,66,,4030,Liège,België
0422660375,Vorstse Baan,89,,2431,Laakdal,België
0422661563,Rue de Valenciennes(B),357,,7300,Boussu,België
0422664929,Dumolinlaan,11,a,8510,Kortrijk,België
0422672550,"Avenue des Lilas,Ham",5,,5190,Jemeppe-sur-Sambre,België
0422672748,Ruisbroekse Steenweg,85,,1190,Vorst,België
0422740252,Industrielaan,6,,2960,Brecht,België
0422746685,Koornbloemstraat,148,,2610,Antwerpen,België
0422748071,Zandstraat,10,,3460,Bekkevoort,België
0422807558,Rue de la Gare,24,,4850,Plombières,België
0422829928,Kuringersteenweg,509,,3511,Hasselt,België
0422834777,Rue d'Incourt(Dong.),27,,1370,Jodoigne,België
0422844972,Rue Saint Jean,27,,6150,Anderlues,België
0422878131,Meersbloem-Melden,16,,9700,Oudenaarde,België
0422881396,Kerckxstraat,10,,1050,Elsene,België
0422899115,Industrielaan,4,,2250,Olen,België
0422971567,Chrysantenstraat,59B,,9820,Merelbeke,België
0422971765,Diestersteenweg,182,,3850,Nieuwerkerken (Limb.),België
0423234655,Rue de la Croix du Maïeur(S-B),1,,7110,La Louvière,België
0423257916,Engelselei,84,,2140,Antwerpen,België
0423264646,Lieven Bauwensstraat,42,,8200,Brugge,België
0423278504,Goede Herderstraat,30,,1140,Evere,België
0423331853,Oude Weg,39,,9991,Maldegem,België
0423343236,Doornpark(BEV),82,,9120,Beveren,België
0423359567,Avenue Léopold III(PER),38,,7134,Binche,België
0423384412,Allée de Wésomont,1,,4190,Ferrières,België
0423397674,Haachtsesteenweg,1704,,1130,Brussel,België
0423408463,Industriepark,4,,9820,Merelbeke,België
0423418955,Leopold III-laan,2,905,8400,Oostende,België
0423464386,Meiboomstraat,25,,2820,Bonheiden,België
0423464980,Rue sur les Vignes,7,,5300,Andenne,België
0423476462,Villalaan,101,,1190,Vorst,België
0423664425,Rue de la Croix Limont,11,,5590,Ciney,België
0423668977,Industriepark-Drongen,11,A,9031,Gent,België
0423691941,Graaf Jansdijk,485,,8300,Knokke-Heist,België
0423710351,Léon Bekaertlaan,2,,9880,Aalter,België
0423735590,Hoge Mauw,710,,2370,Arendonk,België
0423737867,"Rue du Chenois,Ochamps",62,,6890,Libin,België
0423750537,Rue Lambert-Lombard,3,,4000,Liège,België
0423758455,Westlaan,13,,8560,Wevelgem,België
0423760930,Rue Cochaute,9,,5333,Assesse,België
0423784882,Gentsesteenweg,30,,9750,Kruisem,België
0423796265,Quinten Matsijslei,36,,2018,Antwerpen,België
0423806163,Kielstraat,3,,8380,Brugge,België
0423900589,Léon Debattylaan,18,,1070,Anderlecht,België
0423933748,De Breukeleer,16,,1730,Asse,België
0423958294,Rue Jules Borbouse(B.V.),4,,5170,Profondeville,België
0423965422,Rue des Martyrs,115,,4420,Saint-Nicolas,België
0424101717,Bellensbos,7,,2260,Westerlo,België
0424107259,Stationsplein,27,3A,9880,Aalter,België
0424131807,Coghensquare,45,,1180,Ukkel,België
0424169815,Pannewegel,50,,8790,Waregem,België
0424182483,Steenweg op Mechelen,338,,1950,Kraainem,België
0424211583,Meulebeeksesteenweg,22,,8700,Tielt,België
0424342534,Waregemseweg (W.),146,,9790,Wortegem-Petegem,België
0424343425,Abeelstraat,26,,9600,Ronse,België
0424349363,Marolleweg(KRU),1,,9770,Kruisem,België
0424400041,Louizalaan,131A,,1050,Elsene,België
0424420035,Rue de Bruxelles,20,,4130,Esneux,België
0424457350,Patriottenstraat,40,,2600,Antwerpen,België
0424509414,Louizalaan,143,4,1050,Elsene,België
0424571968,Simon De Heuvellaan,8,,2110,Wijnegem,België
0424573651,Drève Micheline,23,,1470,Genappe,België
0424593843,Rue Marcel Louis,34,,1315,Incourt,België
0424602058,Filliersdreef,20,,9800,Deinze,België
0424718755,Rue de Tertre(B),48,,7331,Saint-Ghislain,België
0424724792,Nijverheidsstraat,5,,8740,Pittem,België
0424737264,Gare de Momalle(MOM),15,,4347,Fexhe-le-Haut-Clocher,België
0424746271,Rue Zénobe Gramme,33 A,,4821,Dison,België
0424760327,Monnikenwerve,187,,8000,Brugge,België
0424813973,Gewerbestrasse,11,,4700,Eupen,België
0424842083,Gontrode Heirweg,186,,9090,Melle,België
0424850991,Parc Industriel(W-B),27,,1440,Braine-le-Château,België
0424856733,Industriepark,9,,8730,Beernem,België
0424876232,Kleinmijlveld,11,,2547,Lint,België
0424882269,Rue Delvaux,21,,4340,Awans,België
0424890880,Avenue de la Closeraie,74,,4000,Liège,België
0424896028,Mezenlei,5,,2950,Kapellen,België
0424903055,Baarbeek,14,,2070,Zwijndrecht,België
0424905926,Brugmannlaan,27,,1060,Sint-Gillis (bij-Brussel),België
0424912359,Dendermondesteenweg,388,,9070,Destelbergen,België
0424939281,Rue du Tilloi(H),9,,6220,Fleurus,België
0424954129,Rue de France,79,,5580,Rochefort,België
0424986296,Rue des Bouchers St. Brice(TOU),11,,7500,Tournai,België
0424998768,Stationsstraat,30,,8460,Oudenburg,België
0425015891,Grendelbaan,54,,3590,Diepenbeek,België
0425023019,Den Triangel,2,,8610,Kortemark,België
0425040637,Jules Lahayestraat,205,,1090,Jette,België
0425041231,Drève Richelle,161,L /59,1410,Waterloo,België
0425043904,Chemin de la Vieille Sambre(FW),63,,5020,Namur,België
0425058453,Place du Martyr,21,,4800,Verviers,België
0425061522,Lokerenbaan,237,,9240,Zele,België
0425085870,Assestraat,17,,1790,Affligem,België
0425118831,Rue des Trois Ruisseaux,3,,1450,Chastre,België
0425122987,Koning Leopoldlaan,7,,2870,Puurs-Sint-Amands,België
0425147634,Albert I laan,27,,8620,Nieuwpoort,België
0425152483,Industrieweg,1019,,3540,Herk-de-Stad,België
0425154067,Rue de Jeneffe,5,,4460,Grâce-Hollogne,België
0425167232,Steenstraat,44,,8851,Ardooie,België
0425174853,Marktweg(Goe),94,,9500,Geraardsbergen,België
0425187127,Liefdadigheidslaan,9,,1860,Meise,België
0425206131,Lepelstraat(RN),22,,8600,Diksmuide,België
0425207022,Dooren,111,d,1785,Merchtem,België
0425219690,Voshol,6,,9160,Lokeren,België
0425229093,"Rue des Boussines, Vaux-Chavanne",54,,6960,Manhay,België
0425236617,Boomsesteenweg,58,,2630,Aartselaar,België
0425241862,Rue du Mont d'Orcq(FRY),1,,7503,Tournai,België
0425242852,Vredestraat,53,,8790,Waregem,België
0425243248,Avenue de Guéménée,42,,1420,Braine-l'Alleud,België
0425256215,Rue André Dumont,6,,1435,Mont-Saint-Guibert,België
0425282246,Mannebeekstraat,23,,8790,Waregem,België
0425342624,Edmond Van Nieuwenhuyselaan,30,,1160,Oudergem,België
0425353908,Picardstraat,7,100,1000,Brussel,België
0425359549,Hagenbroeksesteenweg,284,,2500,Lier,België
0425371724,Finlandstraat,19,,9940,Evergem,België
0425385283,Lievensveld,7,,9600,Ronse,België
0425410029,Zeepakker,20,,2390,Malle,België
0425474563,Kapelanielaan,9 C,,9140,Temse,België
0425497824,George Bergmannlaan,38,2,1050,Elsene,België
0425498814,Drève Richelle,161,87,1410,Waterloo,België
0425504257,Rue des Anglais,6,,4430,Ans,België
0425540384,Kolisstraat,3,,3670,Oudsbergen,België
0425547512,Rue des Spinettes,13,,4140,Sprimont,België
0425561665,Lammerdries,12,,2440,Geel,België
0425639859,Kasteelstraat,24,,9620,Zottegem,België
0425644017,Lange Molensstraat,8,,1800,Vilvoorde,België
0425646490,Notstraat,40,,1730,Asse,België
0425693012,Brugsesteenweg,52,,8531,Harelbeke,België
0425693606,Hulsterweg (C),19,,3980,Tessenderlo,België
0425702910,Koning Albert II-laan,19,,1210,Sint-Joost-ten-Node,België
0425789715,Brusselstraat,197,,1702,Dilbeek,België
0425790309,Chaussée de Louvain,479,,1380,Lasne,België
0425814261,Rue du Tige,13,,4040,Herstal,België
0425815647,Karel De Roosestraat,15,,9820,Merelbeke,België
0425830295,Parc Artisanal de Blegny,2-4,,4671,Blégny,België
0425852467,Rue des Hiercheuses,82,,6001,Charleroi,België
0425998561,Stalsbosstraat,16,,3660,Oudsbergen,België
0426023901,Meersstraat,9,,1730,Asse,België
0426068639,Industrieweg (H),Z/N,,3980,Tessenderlo,België
0426091207,Avenue Maurice-Destenay,13,,4000,Liège,België
0426100214,Verrekijker,12,,8750,Wingene,België
0426116842,Industrielaan,20,,9320,Aalst,België
0426154454,Rue du Préat,96,,6043,Charleroi,België
0426221166,Rue Albert 1er,20,,4280,Hannut,België
0426239279,Humaniteitslaan,415,,1190,Vorst,België
0426319453,Stapelplein,70,100,9000,Gent,België
0426332024,Herenweg,6,,8300,Knokke-Heist,België
0426352810,Ruisbroeksesteenweg,235,,1601,Sint-Pieters-Leeuw,België
0426362609,Chaussée Bara,339,,1410,Waterloo,België
0426430311,Ambachtsschoolstraat,27,2,3500,Hasselt,België
0426444365,Drevendaal,30,,2860,Sint-Katelijne-Waver,België
0426449612,Avenue Gaston Biernaux(PEC),23,,7740,Pecq,België
0426452877,Rue Colo-Hugues,67,,1420,Braine-l'Alleud,België
0426454065,Rue des Bugranes(NN),2,,5100,Namur,België
0426509196,Reibos(NDW),9,,2200,Herentals,België
0426511572,Kroonstraat,170,,3020,Herent,België
0426515037,"Rue de la Taillette, Achet",17,,5362,Hamois,België
0426516225,Molenweideplein,21,,3620,Lanaken,België
0426518304,Rue Sainte-Walburge,484,,4000,Liège,België
0426552550,Val d'Away,19,,6760,Virton,België
0426552748,Rue Maurice Bertrand,530,,5300,Andenne,België
0426579967,Rotkreuzstrasse,31,,4700,Eupen,België
0426588578,Warandenstraat,8,,7700,Mouscron,België
0426590261,Esserstraat(Z),12,,8550,Zwevegem,België
0426598080,Hoge-Barrierestraat,3,,8800,Roeselare,België
0426607384,Kukkelbergstraat,37,,3830,Wellen,België
0426666970,Bexstraat,58,,2018,Antwerpen,België
0426669841,Rue de la Litorne,7A,,4950,Waimes,België
0426725566,Rue de Favray,9,,4367,Crisnée,België
0426734474,Grote Heerweg,69,,8791,Waregem,België
0426792377,de Gerlachestraat,3,,3500,Hasselt,België
0426807225,Donk,45,,2400,Mol,België
0426816133,Dagsterrestraat(SGW),21,,9170,Sint-Gillis-Waas,België
0426818014,Kasteellaan,92,,7700,Mouscron,België
0426823556,Tunnelweg,8,,2845,Niel,België
0426825437,Groene Dreef(Rol),32,,8510,Kortrijk,België
0426869977,Jan Van Rijswijcklaan,138,,2018,Antwerpen,België
0426922140,Bredabaan,1165,,2900,Schoten,België
0426955990,Lendeleedsestraat,293,,8870,Izegem,België
0426972917,Meerbos,4,,9260,Wichelen,België
0426978360,Beaulieustraat,2-4,,1830,Machelen (Brab.),België
0426993901,Chapelle des Anges,38,,4890,Thimister-Clermont,België
0427027553,Rue du Fond des Fourches,23C,,4041,Herstal,België
0427051309,Kapelstraat,136,,3550,Heusden-Zolder,België
0427100896,Laageind,5,,2940,Stabroek,België
0427121088,Haltstraat,50,,3900,Pelt,België
0427122969,Diepenbekerweg,11,,3500,Hasselt,België
0427173350,Haverheidelaan,10,,9140,Temse,België
0427173944,Puursesteenweg(BOR),397A,,2880,Bornem,België
0427206608,Marcel Habetslaan,30,,3600,Genk,België
0427218682,Blokkestraat,12,,8530,Harelbeke,België
0427223830,Zwaanhofweg,10,,8900,Ieper,België
0427229966,Rue Ma Campagne,33,,1410,Waterloo,België
0427238082,Bosdel,32A,,3600,Genk,België
0427275595,Geraardsbergse steenweg,21A,,9860,Oosterzele,België
0427284406,Honderdweg,11,,9230,Wetteren,België
0427285889,Edestraat,5,,8020,Oostkamp,België
0427294502,Rue Albert Bataille,6,,4053,Chaudfontaine,België
0427302321,Industrielaan,18,,3730,Hoeselt,België
0427303806,Generaal Capiaumontstraat,96,,1040,Etterbeek,België
0427320929,Kieleberg,31,,3740,Bilzen,België
0427377941,Industriestraat,21,,9240,Zele,België
0427390512,"Bonzeler, Oudler",6,,4790,Burg-Reuland,België
0427406348,Vennestraat,19,,9051,Gent,België
0427414266,Baron Joseph Ryelandtstraat,3,,8000,Brugge,België
0427444554,Hekkestraat,14,A,9308,Aalst,België
0427450492,Rue de l'Abbaye,20-22,,5000,Namur,België
0427460390,Legen Heirweg,43,,9890,Gavere,België
0427507506,Industrielaan,16,,3900,Pelt,België
0427561053,Industrieweg,7,,2630,Aartselaar,België
0427572139,Rue de l'Informatique,2,,4460,Grâce-Hollogne,België
0427628755,Edward Vlietinckstraat,17,,8400,Oostende,België
0427649739,Brusselsesteenweg,217,,9230,Wetteren,België
0427653501,Avenue du Marouset,2,,7090,Braine-le-Comte,België
0427692103,Route de Wallonie (G.),4,,7011,Mons,België
0427698239,Flamingostraat,12,,8400,Oostende,België
0427702692,Souverainestraat,38,,9800,Deinze,België
0427759013,Nijverheidslaan,64,,8540,Deerlijk,België
0427768515,Industrielaan,13,,9620,Zottegem,België
0427804048,R de la résilience territoriale,21,,5060,Sambreville,België
0427903424,Slachthuislaan,80,,2060,Antwerpen,België
0427912926,Pachecolaan,11,,1000,Brussel,België
0427948855,Fazantendreef,12,,8490,Jabbeke,België
0427972314,Hoogstraat,203,A,9472,Denderleeuw,België
0427983202,Rue d'Edimbourg,19,,6040,Charleroi,België
0427995573,Antwerpsesteenweg,219,,2950,Kapellen,België
0428010124,Groendreef,40,,9880,Aalter,België
0428022297,François Laurentplein,6,,9000,Gent,België
0428033680,Tjammelsstraat (W.),49,,9790,Wortegem-Petegem,België
